#Name,Ra_deg,Dec_deg,Class,Remarks
Gaia20ayc,275.5931,-30.7190,PSPL,
Gaia20aym,274.2681,-24.9320,PSPL,MOA-2020-BLG-017 
Gaia20bgu,205.5590,-64.3157,PSPL,OMEGA TOI BHTOM TOI 
Gaia20bgv,220.1458,-62.4029,PSPL,
Gaia20bhj,271.7463,-45.0250,PSPL,
Gaia20bib,269.0972,-37.8354,PSPL,OMEGA TOI 
Gaia20bic,271.9362,-35.4340,PSPL,
Gaia20biu,265.1154,-34.9757,PSPL,KMT-2020-BLG-0122 
Gaia20biy,262.7522,-30.1970,PSPL,KMT-2020-BLG-0038 OMEGA TOI 
Gaia20biz,280.7081,-16.4006,PSPL?,
Gaia20bja,272.7494,-26.0015,PSPL,MOA-2020-BLG-038 OMEGA TOI 
Gaia20bjg,257.7340,-41.6602,PSPL,
Gaia20bjj,271.4874,-28.1609,PSPL,MOA-2020-BLG-019 
Gaia20bjn,263.3745,-28.3319,PSPL,KMT-2020-BLG-0051 
Gaia20bjo,250.8634,-37.6269,PSPL,OMEGA TOI 
Gaia20bjp,260.9033,-32.5481,PSPL,
Gaia20bka,264.1914,-28.6780,PSPL,
Gaia20bkd,262.5638,-30.0214,PSPL,KMT-2020-BLG-0039 
Gaia20bkt,259.0552,-18.1026,PSPL,ZTF20aasvugc 
Gaia20blm,281.9015,17.1366,PSPL?,
Gaia20blu,257.7310,-16.4101,PSPL,OMEGA TOI 
Gaia20bof,184.6182,-63.4973,bin,OMEGA TOI BHTOM TOI 
Gaia20bor,33.3576,62.5397,?,
Gaia20bpk,222.5274,-65.8296,?,ASASSN-20da AP48790783 
Gaia20brh,250.1070,-54.6662,PSPL?,
Gaia20brz,257.4360,-33.3707,PSPL?,OMEGA TOI 
Gaia20bso,263.5298,-36.5219,PSPL,
Gaia20btb,265.1553,-33.2424,PSPL?,OMEGA TOI 
Gaia20btc,268.0380,-33.3555,PSPL,MOA-2020-BLG-051 KMT-2020-BLG-0109 OMEGA TOI 
Gaia20btf,262.2197,-29.8854,PSPL,KMT-2020-BLG-0036 
Gaia20btg,268.0226,-36.8558,PSPL?,
Gaia20bth,262.6186,-27.3420,PSPL,KMT-2020-BLG-0044 
Gaia20bti,268.8057,-34.5875,PSPL,MOA-2020-BLG-008 KMT-2020-BLG-0104 OMEGA TOI 
Gaia20btq,264.9623,-25.6310,PSPL,KMT-2020-BLG-0180 
Gaia20btr,263.7052,-23.5398,PSPL,
Gaia20btx,263.3400,-29.8727,PSPL,KMT-2020-BLG-0188 
Gaia20bua,268.7602,-22.0972,PSPL,ZTF20abbbcsy 
Gaia20buc,270.1228,-26.7683,PSPL,MOA-2020-BLG-027 KMT-2020-BLG-0286 OMEGA TOI 
Gaia20bud,263.1304,-19.7098,PSPL?,ZTF20aawhupe 
Gaia20bvc,276.9774,-16.8349,PSPL,ZTF20aawidjb OMEGA TOI 
Gaia20cfp,173.8187,-55.0415,bin/par?,BHTOM TOI 
Gaia20ckk,194.4532,-60.4649,PSPL?,OMEGA TOI 
Gaia20ckx,198.5461,-64.9822,PSPL,OMEGA TOI 
Gaia20cnv,296.8842,23.5108,PSPL?,ZTF18acnwntv 
Gaia20cnw,295.6100,20.5438,PSPL,ZTF20aavtedl OMEGA TOI 
Gaia20crp,286.6554,15.3158,bin/par,ZTF20abprrct 
Gaia20dgg,244.5444,-54.9556,bin/par?,
Gaia20diu,246.9290,-46.1117,PSPL,
Gaia20dog,223.5756,-55.9587,PSPL,OMEGA TOI 
Gaia20drf,256.2843,-44.5204,Par?,OMEGA TOI BHTOM TOI 
Gaia20dsa,259.6870,-38.6056,PSPL?,
Gaia20dsl,258.9017,-34.3880,PSPL?,
Gaia20dtg,266.3842,-35.3677,PSPL?,OMEGA TOI 
Gaia20dtu,264.1659,-29.4194,PSPL?,KMT-2020-BLG-0394 
Gaia20dtv,262.6669,-27.8132,PSPL,ASASSN-20kb ZTF20abfbnur 
Gaia20dtw,266.2960,-25.4080,PSPL,KMT-2020-BLG-0101 OMEGA TOI 
Gaia20duh,266.6805,-26.0259,PSPL?,
Gaia20dun,271.0843,-26.5182,PSPL,MOA-2020-BLG-079 OMEGA TOI 
Gaia20dum,274.5325,-33.3377,PSPL?,
Gaia20dup,271.4795,-30.3369,Par,MOA-2019-BLG-284 KMT-2019-BLG-1015 OMEGA TOI BHTOM TOI 
Gaia20dvb,274.1533,-29.8028,PSPL?,KMT-2020-BLG-0448 
Gaia20dvc,264.9891,-16.4357,PSPL,ZTF20abqcanu 
Gaia20dve,272.3908,-30.6845,PSPL,
Gaia20dvf,270.7106,-27.1436,PSPL,MOA-2020-BLG-224 KMT-2020-BLG-0647 
Gaia20dvl,276.0084,-30.0197,PSPL?,
Gaia20dvn,270.1127,-19.7827,PSPL,ZTF20abkhfkb 
Gaia20dwb,275.7884,-25.1631,PSPL?,
Gaia20dwf,276.6225,-20.0811,PSPL,OMEGA TOI BHTOM TOI 
Gaia20dwp,276.9192,-18.0413,PSPL,ZTF20abgrpjg OMEGA TOI 
Gaia20dxd,281.7202,-21.5128,PSPL?,
Gaia20dxg,280.2076,-10.2856,PSPL,ZTF20abkymiq OMEGA TOI 
Gaia20ebu,324.5773,48.4792,PSPL,ZTF20abvwhlb OMEGA TOI 
Gaia20ebq,187.5453,-67.6639,Par?,
Gaia20ecw,272.3809,-35.8710,PSPL?,OMEGA TOI 
Gaia20ecy,268.4325,-32.5894,PSPL,MOA-2020-BLG-208 OMEGA TOI 
Gaia20ecz,269.6522,-28.1856,bin,MOA-2020-BLG-212 KMT-2020-BLG-0695 OMEGA TOI 
Gaia20edf,267.9986,-30.4777,PSPL,MOA-2020-BLG-203 KMT-2020-BLG-0641 OMEGA TOI 
Gaia20edm,266.7303,-26.9423,PSPL,KMT-2020-BLG-0626 OMEGA TOI 
Gaia20edn,266.0822,-27.4882,PSPL,KMT-2020-BLG-0574 OMEGA TOI 
Gaia20edz,286.3089,-6.6688,PSPL?,OMEGA TOI 
Gaia20eei,279.3281,-10.7868,PSPL,OMEGA TOI 
Gaia20eha,301.5498,35.6317,PSPL,ZTF20abxwenr 
Gaia20ekw,162.5171,-65.3831,PSPL,
Gaia20enh,245.8446,-55.5537,PSPL?,OMEGA TOI BHTOM TOI 
Gaia20eoc,252.0805,-51.0610,PSPL?,OMEGA TOI 
Gaia20eoj,248.0679,-35.7362,PSPL?,OMEGA TOI 
Gaia20eom,266.6594,-52.8414,PSPL?,OMEGA TOI 
Gaia20epj,261.8761,-39.5910,PSPL?,OMEGA TOI 
Gaia20epl,259.1917,-40.4175,PSPL,
Gaia20epr,267.8499,-40.1759,PSPL?,
Gaia20eqk,267.8516,-36.8240,PSPL?,OMEGA TOI 
Gaia20eqj,263.7746,-28.0580,bin,KMT-2020-BLG-0764 OMEGA TOI 
Gaia20eqp,268.0646,-29.6322,PSPL,KMT-2020-BLG-0834 
Gaia20eqr,268.4628,-29.4808,bin?,MOA-2020-BLG-277 OMEGA TOI 
Gaia20eqs,268.8859,-29.0952,PSPL,MOA-2020-BLG-250 KMT-2020-BLG-0797 OMEGA TOI 
Gaia20equ,270.1269,-30.2407,PSPL,MOA-2020-BLG-255 KMT-2020-BLG-0787 OMEGA TOI 
Gaia20eqx,270.0981,-28.3740,?,OMEGA TOI 
Gaia20erh,82.4527,15.4284,PSPL,ZTF20abztmco BHTOM TOI 
Gaia20eri,266.1927,-25.8316,PSPL?,KMT-2020-BLG-0838 
Gaia20err,268.9945,-18.1858,PSPL?,OMEGA TOI 
Gaia20erx,272.5675,-23.3614,PSPL?,OMEGA TOI 
Gaia20esu,278.4791,-9.0691,Par?,
Gaia20euq,294.8178,-5.0554,bin/par?,ZTF20achpgdp OMEGA TOI 
Gaia20fhv,297.0495,14.0154,Par?,
Gaia20fig,291.9378,-0.3363,PSPL,ZTF20acjzftp 
Gaia20fit,285.9735,-18.1014,PSPL?,OMEGA TOI 
Gaia20fje,287.3217,14.9694,PSPL,OMEGA TOI 
Gaia20fji,287.4477,-5.4726,PSPL?,
Gaia20fju,285.0880,0.5753,PSPL?,
Gaia20fnr,90.2670,-18.9677,bin,AP19384674 OMEGA TOI BHTOM TOI 
Gaia20fpt,287.0885,14.8739,Par?,
Gaia20fsn,291.9120,26.8029,PSPL,ZTF20aculhzd OMEGA TOI 
Gaia20fxg,220.3657,-46.4181,PSPL?,
Gaia21aip,165.9751,-54.1334,?,
Gaia21ajp,319.6591,59.1128,PSPL,ZTF20acqjshl 
Gaia21anm,302.5368,36.9422,PSPL,ZTF20acvazdi 
Gaia21asq,293.3416,20.4390,PSPL,ZTF21aagtzzg OMEGA TOI BHTOM TOI 
Gaia21atr,287.8358,13.7174,Par?,BHTOM TOI 
Gaia21ats,295.6374,19.5826,PSPL,ZTF21aaguapj 
Gaia21auk,271.2803,-7.6100,PSPL,ZTF21aajkflf 
Gaia21auw,262.3259,-21.8753,bin,in ASAS-SN ZTF21aawqeqn OMEGA TOI BHTOM TOI 
Gaia21awi,265.1243,-26.6192,PSPL,KMT-2021-BLG-0058 
Gaia21awe,244.9492,-45.9768,PSPL?,
Gaia21awj,275.6639,-12.2353,PSPL?,ZTF21aajjwoa 
Gaia21aws,218.1593,-55.5611,PSPL,OMEGA TOI 
Gaia21axa,270.1812,-25.7814,PSPL,KMT-2021-BLG-3063 
Gaia21axj,274.4694,-20.4916,PSPL?,OMEGA TOI 
Gaia21axk,279.0067,-12.0485,Par?,ZTF21aaiuhqu OMEGA TOI BHTOM TOI 
Gaia21axl,263.8161,-35.7573,PSPL?,OMEGA TOI 
Gaia21axo,146.9527,-49.3920,PSPL,OMEGA TOI 
Gaia21axp,211.9119,-64.6405,Par?,OMEGA TOI 
Gaia21axq,276.2225,-21.5679,Par?,OMEGA TOI 
Gaia21axr,268.6453,-36.2082,PSPL?,OMEGA TOI 
Gaia21ayd,276.2887,-19.4997,PSPL?,
Gaia21ayh,281.6248,-13.0644,PSPL,ZTF21aaiuhai OMEGA TOI 
Gaia21ayo,275.6565,-19.5534,PSPL?,
Gaia21ayq,280.5972,-13.3893,?,
Gaia21ayr,260.8424,-41.6135,PSPL,OMEGA TOI 
Gaia21azb,290.6390,6.5189,Par?,ASASSN-21ht OMEGA TOI BHTOM TOI 
Gaia21azc,271.8721,-34.4300,Par?,
Gaia21azd,286.8825,-5.3304,Par?,ZTF21aahfznf 
