#Name,Ra_deg,Dec_deg,Class,Remarks
Gaia21bsg,262.7562,-21.4012,bin,ZTF21aawqeqt OMEGA TOI BHTOM TOI 
Gaia21bss,268.7121,-21.4351,PSPL,
Gaia21bst,261.2660,-28.7523,PSPL,KMT-2021-BLG-0243 
Gaia21bsu,266.0558,-22.1182,PSPL,KMT-2021-BLG-0067 
Gaia21bsv,269.4583,-21.3522,PSPL?,
Gaia21bta,266.5176,-23.8303,PSPL?,OMEGA TOI 
Gaia21btu,273.0452,-21.3035,PSPL?,OMEGA TOI BHTOM TOI 
Gaia21bub,233.5024,-49.4137,PSPL?,
Gaia21bvg,277.8506,-34.2014,Par?,in ASAS-SN BHTOM TOI 
Gaia21bwr,233.1900,-62.0964,Par?,OMEGA TOI BHTOM TOI 
Gaia21bzr,358.2625,67.2320,Par?,OMEGA TOI BHTOM TOI 
Gaia21ccu,142.9621,-55.2992,bin,ASASSN-21gs AP39893456 OMEGA TOI BHTOM TOI 
Gaia21cgy,299.5668,20.7599,PSPL?,
Gaia21chq,286.9666,18.6225,PSPL,OMEGA TOI 
Gaia21cjc,289.1614,5.3215,Par?,ZTF21aaymbrh OMEGA TOI BHTOM TOI 
Gaia21cki,288.9652,-7.2116,Par?,ASASSN-21gq ZTF21aanfcmk OMEGA TOI BHTOM TOI 
Gaia21ckj,283.3459,-1.2351,PSPL,ZTF21aaxldzb OMEGA TOI BHTOM TOI 
Gaia21cnn,286.6429,-10.0092,PSPL?,ZTF21abduvqo OMEGA TOI 
Gaia21ctk,172.1906,-58.4137,PSPL?,BHTOM TOI 
Gaia21ctx,182.9675,-62.3909,PSPL,OMEGA TOI BHTOM TOI 
Gaia21cuj,193.1942,-63.9464,PSPL,OMEGA TOI 
Gaia21cuk,202.1003,-66.3757,PSPL,
Gaia21cvu,309.7166,3.7270,PSPL,
Gaia21cwf,220.8803,-61.8149,Par?,OMEGA TOI 
Gaia21cwj,222.2821,-61.2075,PSPL?,
Gaia21dcp,216.7228,-62.6829,PSPL,BHTOM TOI 
Gaia21ddq,193.8981,-64.1435,PSPL?,
Gaia21dls,293.7572,32.0161,bin/par,ZTF21abotllt OMEGA TOI 
Gaia21dnc,324.5451,26.4666,Par?,ASASSN-21mc APJ213810.82+262759.7 ZTF18abktckv OMEGA TOI BHTOM TOI 
Gaia21dpb,321.3745,46.4191,bin/par,ZTF21abtulxp OMEGA TOI BHTOM TOI 
Gaia21dvx,247.4399,-44.7769,bin/par,OMEGA TOI BHTOM TOI 
Gaia21dyh,266.4477,-34.7004,PSPL,MOA-2021-BLG-217 KMT-2021-BLG-0978 OMEGA TOI BHTOM TOI 
Gaia21dyl,269.4588,-33.6696,PSPL,KMT-2021-BLG-0254 OMEGA TOI BHTOM TOI 
Gaia21dyr,264.3079,-29.5592,PSPL,KMT-2021-BLG-2119 BHTOM TOI 
Gaia21dys,264.5654,-28.7631,PSPL,KMT-2021-BLG-2031 BHTOM TOI 
Gaia21dyt,264.5465,-28.2427,PSPL,KMT-2021-BLG-1349 BHTOM TOI 
Gaia21dyw,269.6259,-32.2935,PSPL,MOA-2021-BLG-325 KMT-2021-BLG-1264 OMEGA TOI BHTOM TOI 
Gaia21eak,274.8900,-18.3664,PSPL,ZTF21abitsll OMEGA TOI BHTOM TOI 
Gaia21eay,274.6622,-12.3732,PSPL,ZTF21abihdde BHTOM TOI 
Gaia21eaz,277.0748,-17.7172,PSPL,ZTF21abmnkml BHTOM TOI 
Gaia21ebw,282.5666,-13.6587,Par,ZTF21abscqqf BHTOM TOI 
Gaia21ecf,280.7424,-6.9170,PSPL?,BHTOM TOI 
Gaia21ecy,285.3438,11.8676,Par?,BHTOM TOI 
Gaia21ecz,288.4270,4.9155,PSPL,ZTF21abhqzzh OMEGA TOI BHTOM TOI 
Gaia21edg,287.8596,12.5449,PSPL,OMEGA TOI BHTOM TOI 
Gaia21eeb,294.2867,13.0958,PSPL,ZTF21abouknq BHTOM TOI 
Gaia21eej,295.8351,17.9116,PSPL,
Gaia21eek,293.4296,31.4578,PSPL?,
Gaia21efs,307.4245,31.2952,Par,in ASAS-SN ZTF21abqhbuh OMEGA TOI BHTOM TOI 
Gaia21ehk,221.9086,-61.6126,PSPL,OMEGA TOI BHTOM TOI 
Gaia21ehy,273.6077,-36.2894,PSPL?,OMEGA TOI 
Gaia21eid,229.7594,-53.1357,PSPL,
Gaia21eif,271.1551,-33.7391,PSPL?,
Gaia21eir,260.2155,-40.0724,PSPL?,BHTOM TOI 
Gaia21eix,263.6840,-34.1872,PSPL?,BHTOM TOI 
Gaia21eja,272.0378,-28.6376,PSPL,MOA-2021-BLG-346 KMT-2021-BLG-2184 OMEGA TOI 
Gaia21eju,263.8872,-26.3639,PSPL,KMT-2021-BLG-2181 OMEGA TOI 
Gaia21ejy,261.2915,-29.2746,bin,KMT-2021-BLG-2090 OMEGA TOI 
Gaia21eki,255.0611,-28.3776,PSPL?,OMEGA TOI 
Gaia21eks,258.6071,-23.2945,PSPL,
Gaia21ekr,265.5809,-17.0096,PSPL,
Gaia21eku,274.7137,-5.6818,PSPL,ZTF21abrgqfr OMEGA TOI 
Gaia21elx,300.0401,32.8147,PSPL,OMEGA TOI 
Gaia21eqi,243.9183,-53.5908,PSPL,OMEGA TOI 
Gaia21ero,266.1772,-51.5335,PSPL?,OMEGA TOI 
Gaia21exr,291.4716,14.2937,Par?,BHTOM TOI 
Gaia21feu,201.4541,-65.3252,PSPL,OMEGA TOI BHTOM TOI 
Gaia21fet,197.2428,-61.7597,PSPL,BHTOM TOI 
Gaia21fil,332.3580,50.6260,PSPL,BHTOM TOI 
Gaia21fio,173.5408,-65.4620,PSPL,BHTOM TOI 
Gaia21fjx,303.8140,22.4500,PSPL,ZTF21acegeyw OMEGA TOI BHTOM TOI 
Gaia21fka,300.2858,32.4295,Par?,ZTF18abrrrzz OMEGA TOI 
Gaia21fkl,116.6182,-21.8756,bin/par,ZTF21acnfrae OMEGA TOI BHTOM TOI 
